carrier,despatches,spend,avg_cost_per_despatch,fixed_rate,variance_per_despatch,total_difference,status
FedEx,803,2475.55,3.083,3.1,-0.017,-13.651,Under the fixed rate
Evri outbound,16498,36468.68,2.21,2.44,-0.23,-3794.54,Under the fixed rate
