carrier,despatches,spend,avg_cost_per_despatch,fixed_rate,variance,status
FedEx,803,2475.55,3.083,3.1,-0.017,Under the fixed rate
Evri,54743,43591.13,0.796,2.44,-1.644,Under the fixed rate
