service,quantity,price,value,raw_line
WK35 Std Inv SUPERGROUP INTERNET LIMITED,1,0.0,0.0,WK35 Std Inv SUPERGROUP INTERNET LIMITED 1 0.00 S 0.00
Charges between 26/10/25 to 01/11/25,1,0.0,0.0,Charges between 26/10/25 to 01/11/25 1 0.00 S 0.00
Password for backup & summary: Uew4hw5z,1,0.0,0.0,Password for backup & summary: Uew4hw5z 1 0.00 S 0.00
